what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516179706151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516179707432
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516179707761
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516179713242
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516179724992
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516179726586
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516179731274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516179733758
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516179735477
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516179736805
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516179738165
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516179738961
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516179739290
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516179752626
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516179755345
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516179770955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516179788049
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516179790330
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516179791268
